CUSTOMER_ID	opportunity_id	offer_id	creation_date	updated_date	organization_id	offer_row_id	offer_status	offer_sub_status	offer_expiry_date	reason_for_offering	gsfa_customer_id	aag_id	cpa_id	sales_channel	composite_id	total_shipments	bpm_integration_id	effective_start_date	agreement_renewal_date	agreement_id	agreement_status	rejection_reason	SALES_REP_POSTN_ID
1-5L9NYWH	1-6OZNWCJ	CL_O_114728603299	11 Jul 2019 17:23:32.000000	16 Jul 2019 19:43:59.000000	DHL CL	1-6RL131F	Agreement Created	Standard Approvals Received	10 Aug 2019 00:00:00.000000	Renegotiation Offer	COMET_1-5L9NYWH	1-5PFRMR2	100285197	Field Sales Executives	CLC008H5A	10	1-395KH0	15 Jul 2019 00:00:00.000000	31 Dec 2019 00:00:00.000000	CL_O_114728603299	Active	?	1-2SG2P4
1-6UM0K5M	1-6UM0K5T	CL_O_114960839688	8 Aug 2019 22:19:03.000000	16 Aug 2019 20:28:39.000000	DHL CL	1-6VFAPS8	Offer with Customer	Custom Approvals Received	7 Sep 2019 00:00:00.000000	Offering to New Customer	COMET_1-6UM0K5M	1-6VFAPTI	100646133	Field Sales Executives	CLD00E9OJ	350	1-3DBMCD	8 Aug 2019 00:00:00.000000	31 Dec 2019 00:00:00.000000	?	?	?	1-4HWIHW5
1-W2DA5-5	1-6JJAMO8	CL_O_114242719581	16 May 2019 18:48:50.000000	20 May 2019 16:01:03.000000	DHL CL	1-6JJQWRH	To be Implemented	Standard Approvals Received	15 Jun 2019 00:00:00.000000	Offering to New Customer	CLSCSV_0109015564701	1-6JJQWT5	100560859	Telesales Executives	CLC00CK1A	10	1-3119PL	20 May 2019 00:00:00.000000	31 Dec 2019 00:00:00.000000	?	?	?	1-4HWIHV5
1-14QJ2K-3	1-69635R5	CL_O_113624964441	6 Mar 2019 18:05:34.000000	26 Mar 2019 18:12:32.000000	DHL CL	1-69BY9UH	Invalidated	?	5 Apr 2019 00:00:00.000000	Offering to New Customer	CLSCSV_0222018759592	1-69BY9VW	100487495	Telesales Executives	CLASystem	?	?	6 Mar 2019 00:00:00.000000	31 Dec 2019 00:00:00.000000	?	?	Redo Offer	1-9GUDKD
1-17TR6B-9	1-7J2502Y	CL_O_116389926421	28 Jan 2020 15:16:04.000000	28 Jan 2020 16:18:02.000000	DHL CL	1-7J2505X	Offer with Customer	Standard Approvals Received	27 Feb 2020 00:00:00.000000	Offering to New Customer	CLSCSV_0708019711454	1-7J2507O	100826055	Telesales Executives	CLC008POM	8	1-3ZWJIE	?	31 Dec 2020 00:00:00.000000	?	?	?	1-4HWIHV5
1-1C4Y2D-56	1-7GIYDEM	CL_O_116316301022	20 Jan 2020 19:09:52.000000	20 Jan 2020 19:24:20.000000	DHL CL	1-7HUAYFY	Offer with Customer	Standard Approvals Received	19 Feb 2020 00:00:00.000000	Offering to New Customer	CLSCSV_01060111110934	1-7HUAYH7	100817978	Telesales Executives	CLC008Z41	1	1-3Z95AX	?	31 Dec 2020 00:00:00.000000	?	?	?	1-2SG2RW
1-13VO3J-1	1-645L3YJ	CL_O_113311941896	18 Jan 2019 13:47:11.000000	18 Jan 2019 13:50:16.000000	DHL CL	1-645L43S	Offer with Customer	Standard Approvals Received	17 Feb 2019 00:00:00.000000	Offering to New Customer	CLSCSV_0114018534299	1-645L454	100442209	Telesales Executives	CLCZ00618	1	?	18 Jan 2019 00:00:00.000000	31 Dec 2019 00:00:00.000000	?	?	?	1-2SG2S1
1-186WYC-1	1-18JDGI-2	CL_O_114949448759	7 Aug 2019 16:29:48.000000	7 Aug 2019 16:32:32.000000	DHL CL	1-6V8IKHJ	Offer with Customer	Standard Approvals Received	6 Sep 2019 00:00:00.000000	Offering to New Customer	CLSCSV_0723019822904	1-6V8IKJP	100644382	Telesales Executives	CLCZ00291	2	?	7 Aug 2019 00:00:00.000000	31 Dec 2019 00:00:00.000000	?	?	?	1-5Y9LIHR
1-1DOYZW-2	1-7PYD4XJ	CL_O_116806850722	10 Mar 2020 19:35:56.000000	19 Mar 2020 23:29:14.000000	DHL CL	1-7PYD50I	Agreement Created	Standard Approvals Received	9 Apr 2020 00:00:00.000000	Offering to New Customer	CLSCSV_03090111558579	1-7PYD51R	100874751	Telesales Executives	CLC008KAP	4	1-46FAPM	19 Mar 2020 00:00:00.000000	31 Dec 2020 00:00:00.000000	CL_O_116806850722	Active	?	?
1-1ACM3O-1	1-77EMAER	CL_O_115708802910	7 Nov 2019 18:06:06.000000	7 Nov 2019 18:09:06.000000	DHL CL	1-77SM5WE	Offer with Customer	Standard Approvals Received	7 Dec 2019 00:00:00.000000	Offering to New Customer	CLSION_10200110526978	1-77SNDCO	100745548	Telesales Executives	CLCZ00015	5	?	7 Nov 2019 00:00:00.000000	31 Dec 2019 00:00:00.000000	?	?	?	1-4HWIHVN
1-465SFTX	1-7TCEEVV	CL_O_117014034438	30 Mar 2020 14:46:02.000000	3 Apr 2020 22:14:53.000000	DHL CL	1-7TDPSZQ	Customer Accepted	Custom Approvals Submitted	29 Apr 2020 00:00:00.000000	Renegotiation Offer	COMET_1-465SFTX	1-7TDPT1J	100898972	Telesales Executives	?	5	1-49UR5Z	30 Mar 2020 00:00:00.000000	31 Dec 2020 00:00:00.000000	?	?	?	?
1-1CWO1R-4	1-7L0655V	CL_O_116531282173	12 Feb 2020 15:20:23.000000	13 Feb 2020 19:55:10.000000	DHL CL	1-7LEAQYL	Offer with Customer	Standard Approvals Received	13 Mar 2020 00:00:00.000000	Offering to New Customer	CLSCSV_02060111342441	1-7LEAR0D	100842742	Telesales Executives	CLC00HTO6	21	1-41WMLC	12 Feb 2020 00:00:00.000000	31 Dec 2020 00:00:00.000000	?	?	?	1-9GUDKD
1-18OHT2-1	1-6WKQ0O0	CL_O_115030418666	20 Aug 2019 14:39:17.000000	22 Aug 2019 13:48:15.000000	DHL CL	1-6WKQ19M	Invalidated	Standard Approvals Received	19 Sep 2019 00:00:00.000000	Offering to New Customer	CLSION_0813019970128	1-6WKQ1BE	100655299	Telesales Executives	CLC00EB7K	5	1-3ECY2C	20 Aug 2019 00:00:00.000000	31 Dec 2019 00:00:00.000000	?	?	Redo Offer	1-2SG2QS
1-3LCRCZ4	1-5LYX1CW	CL_O_113233401243	3 Jan 2019 18:16:01.000000	10 Jan 2020 17:58:30.000000	DHL CL	1-62UTPQZ	Offer with Customer	Standard Approvals Received	2 Feb 2019 00:00:00.000000	Renegotiation Offer	COMET_1-3LCRCZ4	1-ZU90M-3001	4382	Major Account Executives	CLC00BTWC	150	1-2KD9TB	?	31 Dec 2019 00:00:00.000000	?	?	?	1-355HBVK
