opportunity_id	created_date	actual_close_date	opportunity_ocr	expected_close_date	gsfa_customer_id	pipeline_stage	pipeline_last_updated_date	opportunity_type	opportunity_tpr	reason_for_lead	reason_qualified_out	primary_competitor	organization_id	existing_committed_revenue	existing_potential_revenue	new_committed_revenue	new_potential_revenue	no_of_shpmnts_order_lns	secondary_competitor	committed_revenue	lead_source	lead_source_type
1-6GRYMGW	25 Apr 2019	?	0	25 Apr 2019	CLSCSV_0422019154524	08 - Unable to Gain	3 May 2019	Acquisition	0	?	No Contact Available	?	DHL CL	0.000000000	0.000000000	0.000000000	0.000000000	?	?	0.000000000	Customer Service	CSV
1-7HTYVW5	20 Jan 2020	?	21.96	30 Apr 2020	CLSCSV_01170111208666	03 - Proposal	21 Feb 2020	Acquisition	21.96	?	Credit Issues	Other	DHL CL	0.000000000	0.000000000	21.960000000	21.960000000	3.0000000	?	21.960000000	Customer Service	CSV
1-14COEH-1082	5 Feb 2019	?	?	?	COMET_1-U044OW	08 - Unable to Gain	14 Mar 2019	Acquisition	180	Campaign	Duplicate Lead	?	DHL CL	?	?	?	?	?	?	?	AWOR	Other
1-68NN248	1 Mar 2019	?	35.7	1 Mar 2019	CLSCSV_0225018767116	08 - Unable to Gain	9 Apr 2019	Acquisition	35.7	?	Credit Issues	FedEx	DHL CL	0.000000000	0.000000000	35.700000000	35.700000000	3.0000000	?	35.700000000	Customer Service	CSV
1-6KBIP97	22 May 2019	6 Jun 2019	3.18	10 Jul 2019	CLSCSV_1212018906878	06 - First Consignment	11 Jun 2019	Acquisition	3.18	?	?	Other	DHL CL	0.000000000	0.000000000	3.180000000	3.180000000	1.0000000	?	3.180000000	Customer Service	CSV
1-6MI1OFC	5 Jun 2019	?	27	5 Jul 2019	CLSION_0601019437642	08 - Unable to Gain	19 Nov 2019	Acquisition	27	?	No Potential Business	Other	DHL CL	0.000000000	0.000000000	27.000000000	27.000000000	5.0000000	?	27.000000000	E-commerce	Liveball
1-72XEYZS	3 Oct 2019	31 Jan 2020	11.5782	28 Feb 2020	CLS17236CS	06 - First Consignment	31 Jan 2020	Renegotiation	17.76	?	?	?	DHL CL	0.000000000	0.000000000	11.578200000	17.760000000	1.0000000	?	11.578200000	Sales	Manual
1-6XAXALM	26 Aug 2019	26 Sep 2019	12	27 Oct 2019	CLSCSV_08190110014561	06 - First Consignment	28 Oct 2019	Acquisition	12	?	?	Freight Forwarder	DHL CL	0.000000000	0.000000000	12.000000000	12.000000000	1.0000000	?	12.000000000	Customer Service	CSV
1-6VKJ3VQ	9 Aug 2019	?	1.4382	31 Dec 2019	CLS68473IS	09 - Future Opportunity	10 Sep 2019	Acquisition	2.2122	Cash Customer	?	?	DHL CL	0.000000000	0.000000000	1.438200000	2.212200000	1.0000000	?	1.438200000	Customer Service	CSV
1-6REUXML	10 Jul 2019	?	0	4 Nov 2019	CLS94386CS	09 - Future Opportunity	23 Jul 2019	Acquisition	0	?	?	?	DHL CL	0.000000000	0.000000000	0.000000000	0.000000000	?	?	0.000000000	Sales	Manual
1-6NAZCXR	12 Jun 2019	14 Jun 2019	330	12 Jul 2019	COMET_1-5R27VC7	05 - Implemented	21 Jun 2019	Acquisition	330	?	?	UPS	DHL CL	0.000000000	0.000000000	330.000000000	330.000000000	304.0000000	Correos de Chile	330.000000000	Sales	Manual
1-72Y4S8H	3 Oct 2019	?	56.94	27 Feb 2020	CLSION_09240110321054	08 - Unable to Gain	26 Nov 2019	Acquisition	56.94	?	Technology	NONE	DHL CL	0.000000000	0.000000000	56.940000000	56.940000000	60.0000000	?	56.940000000	E-commerce	Liveball
1-7FOSYA8	7 Jan 2020	20 Feb 2020	126	5 Feb 2020	CLS94223WL	05 - Implemented	20 Feb 2020	Acquisition	126	?	?	FedEx	DHL CL	0.000000000	0.000000000	126.000000000	126.000000000	18.0000000	?	126.000000000	Sales	Manual
1-6RRFZ78	12 Jul 2019	?	58.02	19 Jul 2019	COMET_1-1O75O6B	08 - Unable to Gain	22 Jul 2019	One-Off/Seasonal	58.02	?	No Potential Business	Freight Forwarder	DHL CL	0.000000000	0.000000000	58.020000000	58.020000000	1.0000000	?	58.020000000	Sales	Manual
1-14COEH-941	5 Feb 2019	?	?	20 Jun 2019	CLS77946CS	09 - Future Opportunity	26 Mar 2019	Acquisition	36	Campaign	?	?	DHL CL	?	?	?	?	?	?	?	AWOR	Other
1-7OIUHVE	2 Mar 2020	?	24	2 Apr 2020	CLSCSV_02270111476813	03 - Proposal	?	Acquisition	24	?	?	?	DHL CL	0.000000000	0.000000000	12.000000000	12.000000000	1.0000000	?	12.000000000	Customer Service	CSV
1-7SEZOWP	24 Mar 2020	27 Mar 2020	54	24 Apr 2020	CLS52367WL	04 - Agreed Shipping	?	Acquisition	54	?	?	Other	DHL CL	0.000000000	0.000000000	54.000000000	54.000000000	6.0000000	?	54.000000000	Sales	Manual
1-6T3NL0F	23 Jul 2019	?	0	23 Jul 2019	COMET_1-64JTBL5	08 - Unable to Gain	?	Acquisition	0	?	No Potential Business	?	DHL CL	0.000000000	0.000000000	0.000000000	0.000000000	?	?	0.000000000	Sales	Manual
1-66LOK1R	15 Feb 2019	?	0	15 Mar 2019	CLSCSV_0205018655027	08 - Unable to Gain	19 Aug 2019	Acquisition	0	?	No Potential Business	?	DHL CL	0.000000000	0.000000000	0.000000000	0.000000000	?	?	0.000000000	Customer Service	CSV
1-7JLCKA3	31 Jan 2020	30 Jan 2020	67.5	29 Feb 2020	CLC10004681	05 - Implemented	30 Jan 2020	One-Off/Seasonal	67.5	?	History with DHL sales	Freight Forwarder	DHL CL	0.000000000	0.000000000	67.500000000	67.500000000	1.0000000	?	67.500000000	Sales	Manual
1-143AOV-482	23 Jan 2019	?	?	?	COMET_1-4XZISMB	08 - Unable to Gain	16 Jul 2019	Acquisition	0	Campaign	Duplicate Lead	?	DHL CL	?	?	?	?	?	?	?	?	?
1-66HAHHE	14 Feb 2019	?	156	16 Mar 2019	COMET_1-66HAHGD	08 - Unable to Gain	30 Apr 2019	Acquisition	156	?	Operational issues	Correos de Chile	DHL CL	0.000000000	0.000000000	156.000000000	156.000000000	1680.0000000	?	156.000000000	Sales	Manual
1-6LZ3M1U	31 May 2019	?	108	30 Jun 2019	COMET_1-49X6F4F	08 - Unable to Gain	31 Jul 2019	Acquisition	108	?	Duplicate Lead	?	DHL CL	0.000000000	0.000000000	108.000000000	108.000000000	2.0000000	?	108.000000000	Sales	Manual
1-6UQKFI1	2 Aug 2019	?	36	3 Dec 2019	COMET_1-4C72SRG	08 - Unable to Gain	12 Dec 2019	Renegotiation	36	?	No Contact Available	?	DHL CL	0.000000000	0.000000000	36.000000000	36.000000000	3.0000000	?	36.000000000	Sales	Manual
1-6THLJIF	25 Jul 2019	?	0	2 Aug 2019	CLSCSV_0121018575583	08 - Unable to Gain	2 Aug 2019	Acquisition	0	?	No Potential Business	?	DHL CL	0.000000000	0.000000000	0.000000000	0.000000000	?	?	0.000000000	Sales	Manual
1-7JUU0HP	1 Feb 2020	?	174	31 Mar 2020	COMET_1-3FOGT2F	08 - Unable to Gain	31 Jan 2020	One-Off/Seasonal	174	?	No Potential Business	?	DHL CL	0.000000000	0.000000000	174.000000000	174.000000000	1.0000000	?	174.000000000	Sales	Manual
1-73F9JJO	8 Oct 2019	10 Oct 2019	12	7 Nov 2019	COMET_1-73F9JIX	06 - First Consignment	28 Oct 2019	Acquisition	168	?	?	FedEx	DHL CL	0.000000000	0.000000000	12.000000000	168.000000000	10.0000000	?	12.000000000	Sales	Manual
1-14BNB9-51	4 Feb 2019	?	?	?	CLS33436CS	08 - Unable to Gain	29 Apr 2019	Upselling	38.2344	Campaign	No Potential Business	?	DHL CL	?	?	?	?	?	?	?	Middle Weight	Campaign
1-6MGWEFQ	5 Jun 2019	?	54	18 Aug 2019	CLS49939WL	08 - Unable to Gain	21 Aug 2019	Renegotiation	54	?	No Potential Business	Other	DHL CL	0.000000000	0.000000000	54.000000000	54.000000000	3.0000000	?	54.000000000	Sales	Manual
1-7DKH5I1	18 Dec 2019	?	42	17 Jan 2020	CLS45159CS	08 - Unable to Gain	18 Dec 2019	One-Off/Seasonal	42	?	Price	OTHER	DHL CL	0.000000000	0.000000000	42.000000000	42.000000000	1.0000000	?	42.000000000	Sales	Manual
1-6Z3K68X	6 Sep 2019	?	6	6 Oct 2019	CLSION_0818017708795	08 - Unable to Gain	28 Oct 2019	Acquisition	6	?	No Potential Business	?	DHL CL	0.000000000	0.000000000	6.000000000	6.000000000	1.0000000	?	6.000000000	Sales	Manual
1-6L028Q6	28 May 2019	?	0	28 May 2019	COMET_1-1G3ZAQ5	08 - Unable to Gain	30 May 2019	Acquisition	6	?	No Potential Business	?	DHL CL	0.000000000	0.000000000	0.000000000	0.000000000	0.0000000	?	0.000000000	MCH Dev Lead	Manual
1-6QDEYHD	2 Jul 2019	?	12	2 Aug 2019	CLSCSV_0701019654342	08 - Unable to Gain	25 Jul 2019	Acquisition	12	?	No Contact Available	?	DHL CL	0.000000000	0.000000000	12.000000000	12.000000000	1.0000000	?	12.000000000	Customer Service	CSV
1-7NE91DG	25 Feb 2020	?	60	25 Mar 2020	CLSION_02040111313055	08 - Unable to Gain	?	Acquisition	60	?	No Potential Business	Chile Express	DHL CL	0.000000000	0.000000000	60.000000000	60.000000000	100.0000000	?	60.000000000	E-commerce	Liveball
1-7Q6HSXB	11 Mar 2020	?	19.8	11 Apr 2020	CLSCSV_03100111569674	03 - Proposal	?	Acquisition	19.8	?	?	?	DHL CL	0.000000000	0.000000000	19.800000000	19.800000000	2.0000000	?	19.800000000	Customer Service	CSV
1-7MQ0ON9	20 Feb 2020	?	30	20 Mar 2020	CLSION_02170111406436	08 - Unable to Gain	20 Feb 2020	Acquisition	30	?	No Contact Available	?	DHL CL	0.000000000	0.000000000	30.000000000	30.000000000	2.0000000	?	30.000000000	WEB - DHL.COM	Liveball
1-7IIUGFR	24 Jan 2020	?	18	31 Mar 2020	CLSION_01160111198118	08 - Unable to Gain	13 Feb 2020	Acquisition	18	?	No Potential Business	NONE	DHL CL	0.000000000	0.000000000	18.000000000	18.000000000	1.0000000	?	18.000000000	WEB - DHL.COM	Liveball
1-6FPPGMH	17 Apr 2019	?	0	17 May 2019	CLSCSV_0409019069726	08 - Unable to Gain	23 May 2019	Acquisition	0	?	No Potential Business	?	DHL CL	0.000000000	0.000000000	0.000000000	0.000000000	?	?	0.000000000	Customer Service	CSV
1-6A8R8LT	12 Mar 2019	?	0	12 Mar 2019	COMET_1-6A8R8LL	02 - First Contact	1 Apr 2019	Acquisition	180	?	?	?	DHL CL	0.000000000	0.000000000	0.000000000	180.000000000	45.0000000	?	0.000000000	Sales	Manual
1-78YYW8Y	15 Nov 2019	?	0	15 Dec 2019	COMET_1-78YYW87	01 - Potential Opportunity	15 Nov 2019	Acquisition	0	?	?	?	DHL CL	0.000000000	0.000000000	0.000000000	0.000000000	?	?	0.000000000	Sales	Manual
1-6LZLKV1	31 May 2019	?	22.14	4 Jul 2019	CLSION_0525019387968	08 - Unable to Gain	13 Jun 2019	Acquisition	22.14	?	No Potential Business	Other	DHL CL	0.000000000	0.000000000	22.140000000	22.140000000	1.0000000	?	22.140000000	E-commerce	Liveball
1-79J27BD	20 Nov 2019	?	0	20 Dec 2019	COMET_1-BOIF6H	08 - Unable to Gain	27 Dec 2019	Acquisition	15	?	No Contact Available	?	DHL CL	0.000000000	0.000000000	0.000000000	15.000000000	2.0000000	?	0.000000000	Sales	Manual
1-14ES7H-2	7 Feb 2019	?	?	?	CLSCSV_1022018457692	08 - Unable to Gain	25 Feb 2019	Upselling	0	Cash Customer	Duplicate Lead	?	DHL CL	?	?	?	?	?	?	?	?	?
1-657GZS9	30 Jan 2019	14 Feb 2019	108	2 Mar 2019	CLSCSV_0130018627034	06 - First Consignment	4 Apr 2019	Acquisition	108	?	?	?	DHL CL	0.000000000	0.000000000	108.000000000	108.000000000	8.0000000	?	108.000000000	Customer Service	CSV
1-71S9JXT	26 Sep 2019	?	7.2	25 Oct 2019	CLSCSV_09240110331330	08 - Unable to Gain	25 Oct 2019	Acquisition	8.4	?	No Contact Available	?	DHL CL	0.000000000	0.000000000	7.200000000	8.400000000	1.0000000	?	7.200000000	Customer Service	CSV
1-6LZT7IA	31 May 2019	?	6	28 Jun 2019	CLSION_0527019393447	08 - Unable to Gain	19 Jun 2019	Acquisition	6	?	No Potential Business	?	DHL CL	0.000000000	0.000000000	6.000000000	6.000000000	1.0000000	?	6.000000000	E-commerce	Liveball
1-7TQOCII	31 Mar 2020	?	0	30 Apr 2020	CLSCSV_03260111731211	03 - Proposal	?	Acquisition	6	?	?	?	DHL CL	0.000000000	0.000000000	0.000000000	0.000000000	?	?	0.000000000	Customer Service	CSV
1-7ID6PZ2	23 Jan 2020	?	0	23 Feb 2020	CLSION_0730017535256	08 - Unable to Gain	10 Feb 2020	Acquisition	12.3768	?	Price	FedEx	DHL CL	0.000000000	0.000000000	0.000000000	12.376800000	1.0000000	?	0.000000000	Sales	Manual
1-677XOU9	21 Feb 2019	?	0	23 Mar 2019	CLC10000816	08 - Unable to Gain	18 Jul 2019	Upselling	0	?	Duplicate Lead	?	DHL CL	0.000000000	0.000000000	0.000000000	0.000000000	?	?	0.000000000	Sales	Manual
1-6ZI0EI0	10 Sep 2019	?	15	10 Oct 2019	CLSCSV_0118018561303	08 - Unable to Gain	29 Oct 2019	Upselling	15	?	No Potential Business	?	DHL CL	0.000000000	0.000000000	15.000000000	15.000000000	2.0000000	?	15.000000000	Sales	Manual
1-6FHKIB3	15 Apr 2019	?	9	15 May 2019	CLSCSV_0401019013710	08 - Unable to Gain	31 May 2019	Acquisition	9	?	No Contact Available	Other	DHL CL	0.000000000	0.000000000	9.000000000	9.000000000	1.0000000	?	9.000000000	Customer Service	CSV
1-6REVW68	10 Jul 2019	?	6	10 Aug 2019	CLS88800CS	08 - Unable to Gain	2 Aug 2019	Acquisition	6	?	No Potential Business	Other	DHL CL	0.000000000	0.000000000	6.000000000	6.000000000	1.0000000	?	6.000000000	Sales	Manual
1-6HIEWKD	30 Apr 2019	29 May 2019	108	30 May 2019	CLC10002258	07 - Shipped to Profile	29 May 2019	Upselling	108	?	?	?	DHL CL	0.000000000	0.000000000	108.000000000	108.000000000	160.0000000	?	108.000000000	Sales	Manual
1-6W9HGFX	16 Aug 2019	?	5.376	6 Mar 2020	CLSCSV_0813019980881	09 - Future Opportunity	30 Oct 2019	Acquisition	8.2704	?	?	?	DHL CL	0.000000000	0.000000000	5.376000000	8.270400000	1.0000000	?	5.376000000	Customer Service	CSV
1-68NTFP5	1 Mar 2019	?	34.2	16 Oct 2019	CLSCSV_0226018780136	08 - Unable to Gain	14 Aug 2019	Acquisition	34.2	?	No Potential Business	Other	DHL CL	0.000000000	0.000000000	34.200000000	34.200000000	1.0000000	?	34.200000000	Customer Service	CSV
1-6XPI2EN	28 Aug 2019	?	13.62	28 Dec 2019	COMET_1-1YUSBO0	08 - Unable to Gain	27 Sep 2019	One-Off/Seasonal	13.62	?	Operational issues	Freight Forwarder	DHL CL	0.000000000	0.000000000	13.620000000	13.620000000	1.0000000	?	13.620000000	Sales	Manual
1-79J5LRS	20 Nov 2019	20 Nov 2019	54	20 Dec 2019	COMET_1-45VTVUS	06 - First Consignment	28 Nov 2019	One-Off/Seasonal	54	?	?	OTHER	DHL CL	0.000000000	0.000000000	54.000000000	54.000000000	1.0000000	?	54.000000000	Sales	Manual
1-7BLNF0E	3 Dec 2019	6 Jan 2020	12	31 Mar 2020	CLS88788IS	06 - First Consignment	6 Jan 2020	Acquisition	12	?	?	?	DHL CL	0.000000000	0.000000000	12.000000000	12.000000000	8.0000000	?	12.000000000	Sales	Manual
1-7MXC4NE	21 Feb 2020	?	146.64	21 Mar 2020	CLSCSV_0216015992416	08 - Unable to Gain	21 Feb 2020	One-Off/Seasonal	146.64	?	Price	?	DHL CL	0.000000000	0.000000000	146.640000000	146.640000000	1.0000000	?	146.640000000	Sales	Manual
1-6YWZTSD	5 Sep 2019	?	0	5 Dec 2019	CLS46397CS	09 - Future Opportunity	14 Oct 2019	Acquisition	0	?	?	?	DHL CL	0.000000000	0.000000000	0.000000000	0.000000000	0.0000000	?	0.000000000	FTB-2016	Liveball
1-6BKJNOK	19 Mar 2019	?	60	27 Jun 2019	COMET_1-6BK9IK3	08 - Unable to Gain	21 Jun 2019	Acquisition	60	?	No Potential Business	Other	DHL CL	0.000000000	0.000000000	60.000000000	60.000000000	8.0000000	?	60.000000000	?	?
1-68ZZD50	5 Mar 2019	?	48	5 Mar 2019	CLSCSV_0220018737250	08 - Unable to Gain	12 Mar 2019	Acquisition	57	?	No Potential Business	TNT	DHL CL	0.000000000	0.000000000	48.000000000	57.000000000	1.0000000	?	48.000000000	Customer Service	CSV
1-6KJ31K4	23 May 2019	?	12	23 May 2019	CLSCSV_0509019258067	08 - Unable to Gain	5 Jun 2019	Acquisition	12	?	No Potential Business	FedEx	DHL CL	0.000000000	0.000000000	12.000000000	12.000000000	1.0000000	?	12.000000000	Customer Service	CSV
1-7GHY9VZ	10 Jan 2020	14 Jan 2020	7.74	10 Feb 2020	COMET_1-1HDVY8M	06 - First Consignment	14 Jan 2020	Acquisition	7.74	?	?	?	DHL CL	0.000000000	0.000000000	7.740000000	7.740000000	1.0000000	?	7.740000000	Sales	Manual
1-72CCSYR	30 Sep 2019	?	120	30 Oct 2019	COMET_1-6WRJBLT	09 - Future Opportunity	27 Nov 2019	Acquisition	120	?	?	Freight Forwarder	DHL CL	0.000000000	0.000000000	120.000000000	120.000000000	18.0000000	?	120.000000000	Sales	Manual
1-677UNOW	21 Feb 2019	?	12	21 Mar 2019	CLSCSV_0220018747437	08 - Unable to Gain	26 Apr 2019	Acquisition	12	?	No Potential Business	?	DHL CL	0.000000000	0.000000000	12.000000000	12.000000000	1.0000000	?	12.000000000	Customer Service	CSV
1-6GA4O4V	23 Apr 2019	?	0	22 Apr 2019	CLC10001283	02 - First Contact	22 Apr 2019	Renegotiation	0.18	?	?	?	DHL CL	0.000000000	0.000000000	0.000000000	0.180000000	3.0000000	?	0.000000000	Sales	Manual
1-7KSWKVK	7 Feb 2020	?	67.38	20 Jun 2020	CLSCSV_02030111315459	09 - Future Opportunity	17 Feb 2020	Acquisition	67.38	?	?	?	DHL CL	0.000000000	0.000000000	67.380000000	67.380000000	6.0000000	?	67.380000000	Customer Service	CSV
1-7JK9Z2Q	30 Jan 2020	?	60	29 Feb 2020	COMET_1-7JK9Z2J	03 - Proposal	30 Jan 2020	Acquisition	60	?	?	Hot Express Chiletrans Courier	DHL CL	0.000000000	0.000000000	60.000000000	60.000000000	4.0000000	?	60.000000000	Sales	Manual
1-651HFBQ	29 Jan 2019	?	42	1 Mar 2019	CLCSINC26150679_2002	08 - Unable to Gain	29 Mar 2019	Acquisition	42	?	Price	?	DHL CL	0.000000000	0.000000000	42.000000000	42.000000000	6.0000000	?	42.000000000	Rellamado	External Database
1-64AAN7B	21 Jan 2019	22 Jan 2019	9.2922	31 Jan 2019	CLSCSV_0319016292619	06 - First Consignment	1 Feb 2019	Acquisition	12.906	?	?	?	DHL CL	0.000000000	0.000000000	9.292200000	12.906000000	1.0000000	?	9.292200000	Sales	Manual
1-7AF28KK	26 Nov 2019	?	0	26 Dec 2019	COMET_1-4DAUVPN	08 - Unable to Gain	26 Nov 2019	Acquisition	0	?	No Potential Business	?	DHL CL	0.000000000	0.000000000	0.000000000	0.000000000	?	?	0.000000000	Sales	Manual
