opportunity_id	product_id	gsfa_customer_id	avg_weight	committed_product_revenue	potential_product_revenue	number_of_shipments	origin	destination	product_line	main_competitor	secondary_competitor	dhl_current_transit_time	dhl_transit_time_status
1-79J27BD	1-LRWO4-23	COMET_1-BOIF6H	               5.0000000	?	15.000000	               2.0000000	CHINA, PEOPLES REPUBLIC	Europe	?	?	?	?	?
1-79YKVHN	1-LRWO4-16	CLSCSV_11220110820672	               7.0000000	18.000000	27.000000	               3.0000000	Asia	CHILE	?	?	?	?	?
1-7MIYBRS	1-LRWO4-5	COMET_1-7MIYBRH	               2.0000000	72.000000	72.000000	              35.0000000	CHILE	MEXICO	?	FedEx	?	3	Faster
1-6SBWTN3	1-LRWO4-6	CLS54658CS	              50.0000000	18.000000	18.000000	               2.0000000	CHILE	TURKEY	?	?	?	?	?
1-6YW8W4S	1-LRWO4-16	COMET_1-4UJJ0PX	              25.0000000	13.500000	13.500000	               1.0000000	ITALY	CHILE	?	Freight Forwarder	?	2	Equal
1-63GWKHE	1-LRWO4-16	CLS96327CS	               1.0000000	7.140000	7.140000	               2.0000000	UNITED STATES OF AMERICA	CHILE	?	?	?	1	Faster
1-7DQ2T2R	1-LRWO4-16	CLS29484WL	             695.0000000	26.100000	26.100000	               1.0000000	GERMANY	CHILE	?	?	?	2	Equal
1-7229ESQ	1-LRWO4-16	CLS90109CS	              50.0000000	24.000000	24.000000	               1.0000000	TURKEY	CHILE	?	Other	?	2	Faster
1-6802C3H	1-LRWO4-6	CLS82423CS	             130.0000000	26.880000	26.880000	               1.0000000	CHILE	PERU	?	Freight Forwarder	?	1	Faster
1-7DH4ITX	1-LRWO4-16	CLS11548CS	             300.0000000	108.000000	108.000000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	?	?	1	Faster
1-7EAXRCY	1-LRWO4-6	CLSION_12190111030569	              10.0000000	9.000000	9.000000	               1.0000000	CHILE	UNITED STATES OF AMERICA	?	FedEx	?	1	Faster
1-63UJDZW	1-LRWO4-5	CLS52698CS	                .5000000	20.160000	20.160000	               6.0000000	CHILE	NICARAGUA	?	FedEx	?	2	Equal
1-71UPQQM	1-LRWO4-16	CLSCSV_0928018254398	              35.0000000	48.000000	84.000000	               2.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Freight Forwarder	?	?	?
1-14BNB9-448	1-LRWO4-16	COMET_1-8BWUP5	             218.0000000	286.320000	286.320000	               1.0000000	North America	CHILE	?	Freight Forwarder	FedEx	?	?
1-6NNQ9YV	1-LRWO4-16	CLSCSV_0603019448476	              15.0000000	18.000000	18.000000	               5.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-6R8RX75	1-LRWO4-16	CLSCSV_0704019687368	              30.0000000	24.000000	24.000000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-6HJ73J4	1-LRWO4-5	COMET_KIK-5PR	                .5000000	42.000000	42.000000	              10.0000000	CHILE	Europe	?	UPS	?	?	?
1-6EHQC6R	1-LRWO4-34	CLSION_0404019038047	                .5000000	36.000000	36.000000	              60.0000000	CHILE	CHILE	?	?	?	?	?
1-7MIT7T2	1-LRWO4-16	CLSCSV_02190111419222	               5.0000000	12.000000	15.000000	               1.0000000	Europe	CHILE	?	OTHER	?	?	?
1-71E8IIL	1-LRWO4-16	CLS13075CS	              45.0000000	19.800000	19.800000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	FedEx	?	1	Faster
