offer_id	created_date	last_updated_date	agreement_id	organization_id	offer_type	agreement_row_id	gsfa_customer_id	product_cluster	shipments	wps	uom	published_revenue	recommended_pid_name	recommended_revenue	pid_category	discount_selection	selected_pid_name	expected_revenue	percentage_initial_discount	absolute_initial_discount	authority_level	authority_name	avg_discount
CL_O_114470979993	12 Jun 2019 21:09:13.000000	19 Jun 2019 15:09:30.000000	CL_O_114470979993	DHL CL	Standard GPI Offer	1-6O7XR6N	COMET_1-6NB5MX1	TDDom	500	0.5	Kg	222361.620000000	TDD_39%	135642.960000000	Fixed/Flavoured	?	TDD_40%	133426.860000000	?	?	3	CL Commercial Director	39.9955530
CL_O_116581782443	18 Feb 2020 13:51:33.000000	4 Mar 2020 14:26:46.000000	CL_O_116581782443	DHL CL	Standard GPI Offer	1-7OXUIP9	CLSCSV_02040111323775	TDImport	8	10	Kg	122.870400000	TDI_52%	46753.440000000	Fixed/Flavoured	Higher Discount	TDI_55%	55.291200000	?	?	1	CL Sales Manager	55.0003910
CL_O_115457890345	9 Oct 2019 18:30:57.000000	9 Oct 2019 18:33:36.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_10070110431847	TDExport	1	10	Kg	21.951600000	TDE_FTB1801	11415.360000000	Fixed/Flavoured	Higher Discount	TDE_FTB1802	14.271000000	?	?	?	?	34.9887940
CL_O_113760331634	19 Mar 2019 14:49:47.000000	21 Mar 2019 19:20:58.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0311018866711	TDExport	40	0.5	Kg	135.816000000	TDE_45%	49833.600000000	Fixed/Flavoured	Higher Discount	TDE_ECOM182	55.440000000	?	?	2	CL Pricing	59.1800670
CL_O_113300315778	16 Jan 2019 20:01:59.000000	22 Jan 2019 20:53:12.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0219016002157	TDExport	2	6	Kg	19.214400000	TDE_29%	9192.000000000	Fixed/Flavoured	Lower Discount	TDE_28%	13.834800000	?	?	?	?	27.9977520
CL_O_113376573948	30 Jan 2019 19:17:45.000000	4 Mar 2019 17:47:12.000000	?	DHL CL	Standard GPI Offer	?	COMET_1-65387ML	TDExport	5	15	Kg	127.071000000	TDE_43%	48498.600000000	Fixed/Flavoured	?	TDE_43%	72.429000000	?	?	1	CL Sales Manager	43.0011570
CL_O_116305879925	20 Jan 2020 13:21:26.000000	23 Jan 2020 21:30:46.000000	CL_O_116305879925	DHL CL	Standard GPI Offer	1-7IEIPDL	CLS42952CS	TDExport	4	5	Kg	36.496200000	TDE_40%	16934.760000000	Fixed/Flavoured	Higher Discount	TDE_50%	18.247200000	?	?	1	CL Sales Manager	50.0024660
CL_O_116327875908	21 Jan 2020 20:27:20.000000	22 Jan 2020 16:49:35.000000	CL_O_116327875908	DHL CL	Standard GPI Offer	1-7I7G32X	CLSCSV_0312018870941	TDImport	3	20	Kg	142.380000000	TDI_52%	52618.860000000	Fixed/Flavoured	Higher Discount	TDI_58%	59.799600000	?	?	1	CL Sales Manager	58.0000000
CL_O_114173039103	8 May 2019 18:35:15.000000	13 Jan 2020 09:50:55.000000	CL_O_114173039103	DHL CL	Standard GPI Offer	1-1BGZ45-985	CLSCSV_0228018800393	TDExport	1	2	Kg	5.299800000	TDE_FTB1801	2608.620000000	Fixed/Flavoured	Higher Discount	TDE_FTB1802	3.445800000	?	?	?	?	34.9824520
CL_O_113615204435	5 Mar 2019 22:54:41.000000	19 Mar 2019 16:30:32.000000	?	DHL CL	Standard GPI Offer	?	CLSCSV_0304018819918	TDImport	3	40	Kg	250.518600000	TDI_51%	80903.880000000	Fixed/Flavoured	Higher Discount	TDI_68%	80.166600000	?	?	3	CL Commercial Director	67.9997410
