offer_id	organization_id	discount	recommended_revenue	recommended_pid	recommended_pid_name	physical_channel	published_revenue	new_potential_revenue	shipments	wps	product_cluster	industry_code	contactrole	reason_for_lead	lead_source_type	primary_competitor
CL_O_114028920439	DHL CL	54.999675676677455	69.18017647058824	NULL	TDI_45%	E-Commerce	129.5004	66.54	2	30.0	TDImport	FASHFASH	Influencer	Campaign	Liveball	FedEx
CL_O_114028025699	DHL CL	50.0	58.436470588235295	NULL	TDE_42%	Freight Forwarders	103.1832	61.2	2	30.0	TDExport	CSMRCSDU	Influencer	Cash Customer	CSV	UPS
CL_O_114074126902	DHL CL	50.877192982456144	24.31694117647059	NULL	TDE_33%	E-Commerce	36.936	18.0	12	0.5	TDExport	FASHEYES	Influencer	Cash Customer	CSV	Correos de Chile
CL_O_114302699758	DHL CL	60.24954452603103	46.76391176470588	NULL	TDI_40%	E-Commerce	76.0746	60.48	20	0.5	TDImport	RETLSPRT	Influencer	Campaign	Liveball	OTHER
CL_O_114937566972	DHL CL	70.00004957931947	207.55623529411764	NULL	TDI_59%	E-Commerce	484.0728	30.06	4	60.0	TDImport	FASHFASH	Decision Maker	Cash Customer	CSV	UPS
CL_O_113515684056	DHL CL	59.99842404901207	51.88976470588236	NULL	TDE_41%	Freight Forwarders	91.3734	102.0	12	4.0	TDExport	PROFLOGS	Decision Maker	Advertising	CSV	FedEx
CL_O_115753557855	DHL CL	69.99633803963054	262.35	NULL	TDE_68%	E-Commerce	737.31	540.0	50	5.0	TDExport	ENGMINDE	Decision Maker	Website	CSV	Freight Forwarder
CL_O_114446851959	DHL CL	65.00017935289475	41.550176470588234	NULL	TDE_39%	Wholesalers	66.9072	9.06	2	23.25	TDExport	PROFSVCP	Decision Maker	Website	CSV	NONE
CL_O_113335303194	DHL CL	55.00137023842149	124.70294117647059	NULL	TDE_52%	Wholesalers	262.728	261.0	30	5.0	TDExport	PROFCLPS	Influencer	Cash Customer	CSV	Other
CL_O_115406330027	DHL CL	78.06891582118857	197.2051764705882	NULL	TDE_60%	E-Commerce	459.6216	96.0	100	1.4	TDExport	CSMRCSDU	Influencer	Cash Customer	CSV	UPS
CL_O_114460547171	DHL CL	72.99995913924973	660.9164117647058	NULL	TDE_81%	e-commerce	3392.0082	390.0	21	127.52	TDExport	TECHDIST	Decision Maker	NULL	Manual	FedEx
CL_O_114471212730	DHL CL	64.99991545056395	275.05764705882353	NULL	TDI_62%	NULL	709.644	540.0	20	15.0	TDImport	OTHROTHR	Decision Maker	Cash Customer	CSV	FedEx
CL_O_114450444684	DHL CL	40.00081088203694	37.36358823529412	NULL	TDE_38%	NULL	59.1948	63.0	2	32.0	TDExport	TECHCSEL	Influencer	Cash Customer	CSV	OTHER
CL_O_114435994328	DHL CL	50.0	44.775882352941174	NULL	TDI_40%	NULL	73.2	42.0	5	10.0	TDImport	AUTOCM12	Influencer	Campaign	Liveball	UPS
CL_O_114458321671	DHL CL	59.997929984179166	118.98538235294117	NULL	TDE_52%	E-Commerce	243.4764	270.0	25	5.0	TDExport	FASHFASH	Decision Maker	NULL	Manual	FedEx
CL_O_114470753111	DHL CL	69.29939648386251	86.52352941176471	NULL	TDE_47%	NULL	160.062	49.14	30	2.0	TDExport	OTHROTHR	Influencer	Cash Customer	CSV	UPS
CL_O_114470414891	DHL CL	59.999920950803734	145.5494117647059	NULL	TDI_53%	NULL	303.6084	168.0	4	80.0	TDImport	CSMRCSDU	Influencer	Cash Customer	CSV	OTHER
CL_O_114421356235	DHL CL	60.00473476841909	43.638882352941174	NULL	TDI_FTB1803	NULL	70.9644	20.52	2	15.0	TDImport	RETLSPRT	Influencer	Campaign	Liveball	Other
CL_O_115908324538	DHL CL	54.99335805063744	97.67999999999999	NULL	TDE_47%	NULL	151.311	510.0	5	20.0	TDExport	ENGMMINE	Approver	Existing Customer	DHL Website	Other
CL_O_114481334909	DHL CL	60.01371424335369	39.639264705882354	NULL	TDI_FTB1803	NULL	64.7502	25.8	1	30.0	TDImport	LSHEMEDD	Influencer	New Customer - New Business	ISL	Other
CL_O_113336868530	DHL CL	40.00244289727616	30.595588235294116	NULL	TDE_37%	NULL	49.122	53.4	5	5.0	TDExport	CSMRCSDU	Influencer	Cash Customer	CSV	FedEx
CL_O_114491497619	DHL CL	59.99720129673251	63.227647058823536	NULL	TDI_FTB1803	NULL	102.9048	40.8	4	10.0	TDImport	CSMRCSDU	Influencer	Cash Customer	CSV	Other
CL_O_114500552651	DHL CL	73.99845619451949	527.1529411764706	NULL	TD3_67%	E-Commerce	1554.6	840.0	200	1.0	TD3rd	PROFLOGS	Decision Maker	NULL	Manual	Other
CL_O_114516616563	DHL CL	33.000503440174526	11.034088235294117	NULL	TDE_25%	NULL	14.3016	21.9312	1	5.0	TDExport	AUTOCM12	Influencer	Cash Customer	CSV	FedEx
CL_O_114535513353	DHL CL	40.00031747543534	50.35235294117647	NULL	TD3_35%	NULL	75.5964	165.66	1	30.0	TD3rd	AUTOCM12	Influencer	Consignee	ISL	Other
CL_O_114412277408	DHL CL	59.99953354945542	218.58882352941177	NULL	TDI_59%	NULL	514.524	240.0	20	10.0	TDImport	PROFLOGS	Influencer	Cash Customer	CSV	FedEx
